,,CZTS,,,,,,,,,,,
Photon Energy (eV),Wavelength (nm) - Plot 0,Voltage (V) - Plot 0,Normalised PL,,,,,,,,,,
1.356660602,914.009,0.001438,0.255506608,,,,,,,,,,
1.355177927,915.009,0.001429,0.215859031,,,,,,,,,,
1.353701446,916.007,0.001426,0.202643172,,,,,,,,,,
1.352226703,917.006,0.001419,0.171806167,,,,,,,,,,
1.350756642,918.004,0.001429,0.215859031,,,,,,,,,,
1.349291241,919.001,0.001422,0.185022026,,,,,,,,,,
1.347827552,919.999,0.001396,0.070484581,,,,,,,,,,
1.346369959,920.995,0.001403,0.101321586,,,,,,,,,,
1.344915514,921.991,0.00141,0.13215859,,,,,,,,,,
1.343464209,922.987,0.001415,0.154185022,,,,,,,,,,
1.341971009,924.014,0.001421,0.18061674,,,,,,,,,,
1.340527498,925.009,0.001448,0.299559471,,,,,,,,,,
1.339088534,926.003,0.001434,0.237885463,,,,,,,,,,
1.3376541,926.996,0.001419,0.171806167,,,,,,,,,,
1.336221295,927.99,0.001409,0.127753304,,,,,,,,,,
1.334748454,929.014,0.00141,0.13215859,,,,,,,,,,
1.333323298,930.007,0.001427,0.207048458,,,,,,,,,,
1.331904043,930.998,0.001418,0.167400881,,,,,,,,,,
1.330486379,931.99,0.001426,0.202643172,,,,,,,,,,
1.329028994,933.012,0.001434,0.237885463,,,,,,,,,,
1.327620283,934.002,0.001425,0.198237885,,,,,,,,,,
1.326214556,934.992,0.001412,0.140969163,,,,,,,,,,
1.324767925,936.013,0.001429,0.215859031,,,,,,,,,,
1.323369641,937.002,0.001409,0.127753304,,,,,,,,,,
1.321974305,937.991,0.001411,0.136563877,,,,,,,,,,
1.320539717,939.01,0.001419,0.171806167,,,,,,,,,,
1.319153146,939.997,0.001426,0.202643172,,,,,,,,,,
1.317724672,941.016,0.001425,0.198237885,,,,,,,,,,
1.316345401,942.002,0.001416,0.158590308,,,,,,,,,,
1.314969013,942.988,0.001403,0.101321586,,,,,,,,,,
1.313552365,944.005,0.001423,0.189427313,,,,,,,,,,
1.312183198,944.99,0.001417,0.162995595,,,,,,,,,,
1.310773927,946.006,0.001455,0.330396476,,,,,,,,,,
1.309411926,946.99,0.001418,0.167400881,,,,,,,,,,
1.308009979,948.005,0.001427,0.207048458,,,,,,,,,,
1.306655089,948.988,0.001388,0.035242291,,,,,,,,,,
1.30526041,950.002,0.001408,0.123348018,,,,,,,,,,
1.303870076,951.015,0.001389,0.039647577,,,,,,,,,,
1.302526481,951.996,0.001409,0.127753304,,,,,,,,,,
1.301141962,953.009,0.001436,0.246696035,,,,,,,,,,
1.299805344,953.989,0.001429,0.215859031,,,,,,,,,,
1.29842796,955.001,0.001443,0.27753304,,,,,,,,,,
1.297056205,956.011,0.001438,0.255506608,,,,,,,,,,
1.295729318,956.99,0.001409,0.127753304,,,,,,,,,,
1.294363257,958,0.001419,0.171806167,,,,,,,,,,
1.293001421,959.009,0.001422,0.185022026,,,,,,,,,,
1.291684158,959.987,0.001433,0.233480176,,,,,,,,,,
1.290329294,960.995,0.001422,0.185022026,,,,,,,,,,
1.288978609,962.002,0.001418,0.167400881,,,,,,,,,,
1.287629412,963.01,0.001444,0.281938326,,,,,,,,,,
1.286327069,963.985,0.001429,0.215859031,,,,,,,,,,
1.284986078,964.991,0.001447,0.295154185,,,,,,,,,,
1.283647879,965.997,0.001433,0.233480176,,,,,,,,,,
1.282315117,967.001,0.001406,0.114537445,,,,,,,,,,
1.280983796,968.006,0.001421,0.18061674,,,,,,,,,,
1.279656557,969.01,0.001433,0.233480176,,,,,,,,,,
1.278333383,970.013,0.001401,0.092511013,,,,,,,,,,
1.277053713,970.985,0.001411,0.136563877,,,,,,,,,,
1.275737227,971.987,0.001444,0.281938326,,,,,,,,,,
1.274423452,972.989,0.001425,0.198237885,,,,,,,,,,
1.273113687,973.99,0.0014,0.088105727,,,,,,,,,,
1.271806612,974.991,0.001421,0.18061674,,,,,,,,,,
1.270503519,975.991,0.001411,0.136563877,,,,,,,,,,
1.269203094,976.991,0.001444,0.281938326,,,,,,,,,,
1.267906625,977.99,0.001408,0.123348018,,,,,,,,,,
1.266612802,978.989,0.001413,0.145374449,,,,,,,,,,
1.265322907,979.987,0.00142,0.176211454,,,,,,,,,,
1.264036926,980.984,0.00143,0.220264317,,,,,,,,,,
1.262712408,982.013,0.001432,0.22907489,,,,,,,,,,
1.261433008,983.009,0.001391,0.04845815,,,,,,,,,,
1.260156198,984.005,0.001411,0.136563877,,,,,,,,,,
1.258883249,985,0.001419,0.171806167,,,,,,,,,,
1.257612868,985.995,0.001415,0.154185022,,,,,,,,,,
1.256346322,986.989,0.001438,0.255506608,,,,,,,,,,
1.255042945,988.014,0.001413,0.145374449,,,,,,,,,,
1.253782835,989.007,0.001402,0.0969163,,,,,,,,,,
1.252526518,989.999,0.001416,0.158590308,,,,,,,,,,
1.251272716,990.991,0.001413,0.145374449,,,,,,,,,,
1.249982359,992.014,0.001426,0.202643172,,,,,,,,,,
1.248734901,993.005,0.001414,0.149779736,,,,,,,,,,
1.247491185,993.995,0.001411,0.136563877,,,,,,,,,,
1.246249943,994.985,0.001428,0.211453744,,,,,,,,,,
1.24497367,996.005,0.001418,0.167400881,,,,,,,,,,
1.243738678,996.994,0.001393,0.057268722,,,,,,,,,,
1.242468785,998.013,0.001423,0.189427313,,,,,,,,,,
1.241241241,999,0.001427,0.207048458,,,,,,,,,,
1.24001612,999.987,0.00142,0.176211454,,,,,,,,,,
1.238761239,1001,0.001415,0.154185022,,,,,,,,,,
1.237537301,1001.99,0.00143,0.220264317,,,,,,,,,,
1.236278801,1003.01,0.001416,0.158590308,,,,,,,,,,
1.235072062,1003.99,0.001437,0.251101322,,,,,,,,,,
1.233818569,1005.01,0.001407,0.118942731,,,,,,,,,,
1.232616626,1005.99,0.001421,0.18061674,,,,,,,,,,
1.231380338,1007,0.001422,0.185022026,,,,,,,,,,
